tSNE_1	tSNE_2	use.colors	cells
PBS_Cells_252	-33.5350717077182	-19.6360250931422	#cdcd00	Im
PBS_Cells_521	-37.1905063880754	-18.996092900611	#cdcd00	Im
PBS_Cells_545	-35.8166897072281	-19.5205895765796	#cdcd00	Im
PBS_Cells_603	-36.9818460877815	-18.9372846336411	#cdcd00	Im
PBS_Cells_788	-33.6138701260012	-19.6354766597931	#cdcd00	Im
PBS_Cells_863	-33.2453949221184	-19.699786790074	#cdcd00	Im
PBS_Cells_864	-35.9597604169145	-18.3312796981384	#cdcd00	Im
IL4_Cells_83	-35.6968468836848	-17.7798248448877	#cdcd00	Im
IL4_Cells_92	-34.7164406896806	-17.0396441049684	#cdcd00	Im
IL4_Cells_117	-34.0330464791551	-17.4142198185255	#cdcd00	Im
IL4_Cells_128	-34.0201462461392	-17.1105651321473	#cdcd00	Im
IL4_Cells_140	-33.2418001189291	-18.6076032384909	#cdcd00	Im
IL4_Cells_148	-35.4507422494227	-17.6369097819857	#cdcd00	Im
IL4_Cells_149	-36.0344327428222	-18.1941834354125	#cdcd00	Im
IL4_Cells_176	-35.5390932247282	-17.8234276554014	#cdcd00	Im
IL4_Cells_320	-36.0150658039892	-18.1532719675905	#cdcd00	Im
IL4_Cells_388	-35.8892792698536	-17.3704302018858	#cdcd00	Im
IL4_Cells_419	-36.5272705505138	-18.5132002670652	#cdcd00	Im
IL4_Cells_473	-34.7206598668645	-17.1427766739053	#cdcd00	Im
IL4_Cells_507	-34.6547174729801	-16.8645818380981	#cdcd00	Im
IL4_Cells_511	-34.4953514694992	-17.0654397305457	#cdcd00	Im
IL4_Cells_533	-35.0239773428038	-17.2910460055823	#cdcd00	Im
IL4_Cells_548	-35.8279138320452	-17.8260096789745	#cdcd00	Im
IL4_Cells_561	-34.2079180902842	-17.2384912896596	#cdcd00	Im
IL4_Cells_599	-34.6810225593358	-16.9299134892116	#cdcd00	Im
IL4_Cells_602	-35.474762097569	-17.6611651110893	#cdcd00	Im
AB42_Cells_9	-35.0759107746523	-19.0877516833511	#cdcd00	Im
AB42_Cells_50	-34.4017819239955	-18.8640050894848	#cdcd00	Im
AB42_Cells_54	-34.2112935688829	-18.250863997725	#cdcd00	Im
AB42_Cells_111	-35.5298947268947	-18.9603890895461	#cdcd00	Im
AB42_Cells_112	-36.0692035712959	-19.5707078500625	#cdcd00	Im
AB42_Cells_165	-34.7348218586114	-18.5809507455731	#cdcd00	Im
AB42_Cells_166	-33.6687121307824	-19.2045861399947	#cdcd00	Im
AB42_Cells_226	-33.7306367457943	-18.6668590608283	#cdcd00	Im
AB42_Cells_233	-36.4613243509405	-18.9852739734556	#cdcd00	Im
AB42_Cells_341	-36.3468226809451	-19.2260221672613	#cdcd00	Im
AB42_Cells_347	-35.553240824281	-19.4065253995838	#cdcd00	Im
AB42_Cells_543	-35.4679076667165	-18.9124691095601	#cdcd00	Im
AB42_Cells_583	-36.1128178438275	-19.1064989780409	#cdcd00	Im
AB42_Cells_588	-35.4811661120486	-19.1298113806864	#cdcd00	Im
AB42_Cells_727	-35.2910902864054	-19.2156018727659	#cdcd00	Im
AB42_Cells_852	-36.2748244893994	-19.4874661103853	#cdcd00	Im
AB42_Cells_981	-36.5486716565495	-19.072271790494	#cdcd00	Im
AB42_Cells_1052	-34.5043247680489	-19.6851802059388	#cdcd00	Im
AB42_Cells_1067	-36.118987655886	-18.8446795495831	#cdcd00	Im
AB42_Cells_1122	-35.5037129309965	-19.2959413416715	#cdcd00	Im
AB42_Cells_1127	-36.0692504838069	-19.0465992904275	#cdcd00	Im
PBS_Cells_8	-10.3861944384193	2.77348851740142	#ff0000	NN_0
PBS_Cells_44	-23.8159621842111	6.61831623195783	#ff0000	NN_0
PBS_Cells_48	-13.2027012973825	-0.341151961142976	#ff0000	NN_0
PBS_Cells_57	-14.4108076368997	-6.5496454516316	#ff0000	NN_0
PBS_Cells_88	-20.169163808568	1.55605309647102	#ff0000	NN_0
PBS_Cells_92	-11.8169919822682	-4.83752718831797	#ff0000	NN_0
PBS_Cells_98	-31.4466355211884	2.27772399572372	#ff0000	NN_0
PBS_Cells_152	-22.065812646987	5.9404141715366	#ff0000	NN_0
PBS_Cells_193	-8.14280710997174	-24.8429681282987	#ff0000	NN_0
PBS_Cells_200	-18.6600147702511	1.36657304129209	#ff0000	NN_0
PBS_Cells_217	-11.3996609041869	-4.89602000590198	#ff0000	NN_0
PBS_Cells_226	-15.9884638399044	4.27283442417188	#ff0000	NN_0
PBS_Cells_232	-9.92925020415361	-19.1745034422535	#ff0000	NN_0
PBS_Cells_264	-19.440583319447	6.17564286242067	#ff0000	NN_0
PBS_Cells_301	-28.0723981896872	-2.00766384598442	#ff0000	NN_0
PBS_Cells_304	-11.5885689269124	-12.9838017319081	#ff0000	NN_0
PBS_Cells_334	-21.0403271824554	3.92358475614858	#ff0000	NN_0
PBS_Cells_357	-16.9806651118589	3.17078570885444	#ff0000	NN_0
PBS_Cells_361	-3.43129907294942	-27.270530392691	#ff0000	NN_0
PBS_Cells_374	-23.3092419702165	7.91411555592591	#ff0000	NN_0
PBS_Cells_381	-22.0693309846575	6.97731767785575	#ff0000	NN_0
PBS_Cells_403	-32.9905466069678	3.93808620736221	#ff0000	NN_0
PBS_Cells_413	-24.8105071595392	-6.14042989131367	#ff0000	NN_0
PBS_Cells_416	-13.3303379057733	4.34679041912738	#ff0000	NN_0
PBS_Cells_478	-17.3774789533986	4.90253175203876	#ff0000	NN_0
PBS_Cells_494	-27.7968110217928	7.76053565760407	#ff0000	NN_0
PBS_Cells_503	-5.41332637162556	-29.4727438694574	#ff0000	NN_0
PBS_Cells_516	-18.7422328022739	-0.913067192964271	#ff0000	NN_0
PBS_Cells_532	-11.4249421707501	-1.78100101746486	#ff0000	NN_0
PBS_Cells_537	-26.8392179822907	-0.259327315926615	#ff0000	NN_0
PBS_Cells_543	-4.50168593328705	-25.2999468667286	#ff0000	NN_0
PBS_Cells_571	-28.0702636234294	-4.28456457276276	#ff0000	NN_0
PBS_Cells_583	-14.7323347980486	0.247705015202343	#ff0000	NN_0
PBS_Cells_597	-28.3477700724032	-0.421821638057348	#ff0000	NN_0
PBS_Cells_619	-26.6414631627763	-5.57077428917274	#ff0000	NN_0
PBS_Cells_642	-16.4499117021044	-12.0105564669175	#ff0000	NN_0
PBS_Cells_664	-17.1148473747162	2.89970444426554	#ff0000	NN_0
PBS_Cells_672	-11.7042465786094	2.59983992012751	#ff0000	NN_0
PBS_Cells_690	-20.8268892803771	-1.04101964139743	#ff0000	NN_0
PBS_Cells_701	-3.73266949535455	-28.0983529637414	#ff0000	NN_0
PBS_Cells_708	-21.8272567880218	6.57502748875426	#ff0000	NN_0
PBS_Cells_714	-17.7600796227612	8.38633745270242	#ff0000	NN_0
PBS_Cells_724	-10.7035473047476	2.72399707947883	#ff0000	NN_0
PBS_Cells_735	-26.3514057168201	0.908247204360575	#ff0000	NN_0
PBS_Cells_757	-10.3981541265668	3.16518360769057	#ff0000	NN_0
PBS_Cells_769	-16.6186125270595	3.04748369517335	#ff0000	NN_0
PBS_Cells_772	-18.3998406834855	-4.83267105213979	#ff0000	NN_0
PBS_Cells_806	-12.0171102821873	0.860270717132402	#ff0000	NN_0
PBS_Cells_809	-18.0078347998289	6.75705886527884	#ff0000	NN_0
PBS_Cells_830	-19.6704975432145	5.86991357182587	#ff0000	NN_0
PBS_Cells_873	-18.5685169528481	-1.39189046420108	#ff0000	NN_0
PBS_Cells_874	-18.5897603923206	-4.20011265327411	#ff0000	NN_0
IL4_Cells_5	-6.879420078368	-11.7754108429323	#ff0000	NN_0
IL4_Cells_50	-15.0036103439266	-4.4733715566926	#ff0000	NN_0
IL4_Cells_75	-6.38784707964029	-11.9675614197983	#ff0000	NN_0
IL4_Cells_82	-13.2972879888572	-3.45691838796765	#ff0000	NN_0
IL4_Cells_87	-13.0638054684157	-4.17703737397163	#ff0000	NN_0
IL4_Cells_103	-22.0938442656559	4.22055357793505	#ff0000	NN_0
IL4_Cells_135	-15.9115306439731	1.35442015276125	#ff0000	NN_0
IL4_Cells_154	-22.2985384983138	5.99752083888963	#ff0000	NN_0
IL4_Cells_157	-14.2739909626394	0.0320353878435891	#ff0000	NN_0
IL4_Cells_221	-17.4468945870757	0.724664597387195	#ff0000	NN_0
IL4_Cells_251	-15.7785236321798	-4.0331175122657	#ff0000	NN_0
IL4_Cells_271	-14.9979006791921	-4.56198362342744	#ff0000	NN_0
IL4_Cells_294	-10.3091277667805	-19.0983795276299	#ff0000	NN_0
IL4_Cells_303	-14.4517048386594	0.733893998404513	#ff0000	NN_0
IL4_Cells_329	-16.5434323361994	0.780304210846456	#ff0000	NN_0
