tSNE_1	tSNE_2	use.colors	cells
PBS_Cells_12	-7.07692576609891	1.85750182988612	#98f5ff	PC_0
PBS_Cells_47	-2.67460418768488	3.20814273672579	#98f5ff	PC_0
PBS_Cells_52	-2.9736322824651	7.42180426106841	#98f5ff	PC_0
PBS_Cells_76	-1.23374051213582	2.61737385172814	#98f5ff	PC_0
PBS_Cells_81	-2.26628717454601	-4.55246223722746	#98f5ff	PC_0
PBS_Cells_82	-2.05539852887925	3.62017695060215	#98f5ff	PC_0
PBS_Cells_84	-4.14994559358709	-6.10457660562563	#98f5ff	PC_0
PBS_Cells_91	-1.11887247915288	7.21639947577106	#98f5ff	PC_0
PBS_Cells_93	-4.1665843924078	5.69663709694095	#98f5ff	PC_0
PBS_Cells_99	-3.67784169835099	3.07177164139291	#98f5ff	PC_0
PBS_Cells_156	-9.4188252197601	3.54736589335126	#98f5ff	PC_0
PBS_Cells_158	-7.50303741060551	14.423554119371	#98f5ff	PC_0
PBS_Cells_164	-7.00889605353401	9.38256240690171	#98f5ff	PC_0
PBS_Cells_172	-1.80956372099865	-2.07264808025239	#98f5ff	PC_0
PBS_Cells_180	-4.66665257491599	8.30882839428545	#98f5ff	PC_0
PBS_Cells_182	-0.187256177293716	4.66612816581493	#98f5ff	PC_0
PBS_Cells_214	3.4527566216872	3.37760770953742	#98f5ff	PC_0
PBS_Cells_216	4.95301078960633	6.57596450626889	#98f5ff	PC_0
PBS_Cells_218	-1.93445141090452	0.0233289160574725	#98f5ff	PC_0
PBS_Cells_222	-0.825389539574651	-1.21311572606376	#98f5ff	PC_0
PBS_Cells_234	-1.04954436795958	4.0767332384714	#98f5ff	PC_0
PBS_Cells_253	-0.930072983067715	2.20686441723489	#98f5ff	PC_0
PBS_Cells_255	-4.13495490814626	7.85537977212963	#98f5ff	PC_0
PBS_Cells_260	-1.98485387414484	5.16681800310564	#98f5ff	PC_0
PBS_Cells_266	-0.252438279770845	0.284907226140262	#98f5ff	PC_0
PBS_Cells_268	-2.73677363779762	0.201596566526031	#98f5ff	PC_0
PBS_Cells_271	-9.26733222082516	-2.94169848839539	#98f5ff	PC_0
PBS_Cells_278	-2.85833403388616	8.33669822870296	#98f5ff	PC_0
PBS_Cells_279	-7.07788006997614	7.12863746971636	#98f5ff	PC_0
PBS_Cells_287	-3.72141785926179	6.38725726799971	#98f5ff	PC_0
PBS_Cells_293	-5.59003334751116	8.49772402122394	#98f5ff	PC_0
PBS_Cells_296	9.5616544001385	1.82778304688083	#98f5ff	PC_0
PBS_Cells_300	-8.10361100477645	8.66321579919803	#98f5ff	PC_0
PBS_Cells_318	-1.73138720084455	3.17022436173412	#98f5ff	PC_0
PBS_Cells_338	-1.43129563623726	7.71005321187399	#98f5ff	PC_0
PBS_Cells_379	-5.53958823236966	-0.100067832434404	#98f5ff	PC_0
PBS_Cells_389	-0.96806922713719	0.649250168256465	#98f5ff	PC_0
PBS_Cells_408	0.965487667478827	7.14532404611469	#98f5ff	PC_0
PBS_Cells_418	-0.160571404241284	0.330114445611832	#98f5ff	PC_0
PBS_Cells_425	-9.35589396035029	0.32387088501693	#98f5ff	PC_0
PBS_Cells_426	-10.488425885436	2.37959481225169	#98f5ff	PC_0
PBS_Cells_430	-0.798742943733388	-1.23139188635544	#98f5ff	PC_0
PBS_Cells_431	-8.18928176888572	10.5962541319646	#98f5ff	PC_0
PBS_Cells_439	-2.01976571588172	-0.0446712342529664	#98f5ff	PC_0
PBS_Cells_450	-7.89939183730712	2.97739023502967	#98f5ff	PC_0
PBS_Cells_454	3.67061480880419	3.15839159167867	#98f5ff	PC_0
PBS_Cells_464	-3.04912759745927	3.48687592569808	#98f5ff	PC_0
PBS_Cells_482	0.369196478477608	3.65249306508527	#98f5ff	PC_0
PBS_Cells_499	-7.88600597469006	-2.44467648883535	#98f5ff	PC_0
PBS_Cells_513	-10.6443087683852	2.60089172238269	#98f5ff	PC_0
PBS_Cells_535	1.28668900287378	3.60599177689874	#98f5ff	PC_0
PBS_Cells_563	-4.57811639353522	-7.16758003106789	#98f5ff	PC_0
PBS_Cells_568	-1.67006234303926	8.23899618042789	#98f5ff	PC_0
PBS_Cells_584	-0.800970868551323	6.96575381713428	#98f5ff	PC_0
PBS_Cells_602	-1.4885226950262	-0.742596911302731	#98f5ff	PC_0
PBS_Cells_606	3.08734290811281	2.00712620015369	#98f5ff	PC_0
PBS_Cells_612	-4.9151709398157	-5.89017677686656	#98f5ff	PC_0
PBS_Cells_620	-6.59803076423563	8.86608451583336	#98f5ff	PC_0
PBS_Cells_663	-6.70582536283088	-6.52396106043639	#98f5ff	PC_0
PBS_Cells_677	-2.23973393019567	-1.15976583450083	#98f5ff	PC_0
PBS_Cells_684	-7.52926507749336	6.14574379270434	#98f5ff	PC_0
PBS_Cells_686	1.53769167041809	0.0941667916277631	#98f5ff	PC_0
PBS_Cells_693	-6.55127165268365	8.99550348828043	#98f5ff	PC_0
PBS_Cells_711	-2.72190422179871	7.17443398425011	#98f5ff	PC_0
PBS_Cells_713	-5.28132835561715	-1.49874235020114	#98f5ff	PC_0
