tSNE_1	tSNE_2	use.colors	cells
PBS_Cells_8	-13.8483052982707	-4.08751889581931	#ff0000	NN_0
PBS_Cells_44	-6.34951631123051	-6.2115827077423	#ff0000	NN_0
PBS_Cells_48	4.8320942153759	9.39419504050358	#ff0000	NN_0
PBS_Cells_57	-3.19544738089399	-6.11743927767683	#ff0000	NN_0
PBS_Cells_88	-7.00968512041352	-6.74768671436379	#ff0000	NN_0
PBS_Cells_92	-3.85846796339096	-5.0294191694565	#ff0000	NN_0
PBS_Cells_98	-9.58848093021447	10.2459243629137	#ff0000	NN_0
PBS_Cells_152	-2.61549254275485	-3.94644690269929	#ff0000	NN_0
PBS_Cells_193	2.18017316423332	6.9806873847608	#ff0000	NN_0
PBS_Cells_200	-15.9307492216137	6.06770170244211	#ff0000	NN_0
PBS_Cells_217	-10.2070920079159	-3.64724647695337	#ff0000	NN_0
PBS_Cells_226	-1.12719240513637	-4.56247842785282	#ff0000	NN_0
PBS_Cells_232	1.58919235150714	-3.80300803068105	#ff0000	NN_0
PBS_Cells_264	-7.35971391897976	-7.52898333490131	#ff0000	NN_0
PBS_Cells_301	-0.808188801063129	7.02152090150549	#ff0000	NN_0
PBS_Cells_304	-0.6689867314772	-5.023104433328	#ff0000	NN_0
PBS_Cells_334	-4.02211595286561	2.15723998427956	#ff0000	NN_0
PBS_Cells_357	-7.76138233709687	-5.97162456659033	#ff0000	NN_0
PBS_Cells_361	4.47642329747229	4.68089192005094	#ff0000	NN_0
PBS_Cells_374	-5.41330743464727	0.991031444224875	#ff0000	NN_0
PBS_Cells_381	-2.00820754224789	-6.93799203839709	#ff0000	NN_0
PBS_Cells_403	-12.8737722779005	5.08638590219616	#ff0000	NN_0
PBS_Cells_413	-9.22119995746714	13.2246307992104	#ff0000	NN_0
PBS_Cells_416	-14.630549143045	-3.48855464774685	#ff0000	NN_0
PBS_Cells_478	-5.66259866269044	-5.68001070871499	#ff0000	NN_0
PBS_Cells_494	-1.12735731102293	1.38390644258985	#ff0000	NN_0
PBS_Cells_503	0.482370795615702	2.12974906751925	#ff0000	NN_0
PBS_Cells_516	-10.7165807115378	-0.270654092792968	#ff0000	NN_0
PBS_Cells_532	-6.08064239106428	5.06785033083348	#ff0000	NN_0
PBS_Cells_537	-11.6367108624047	-6.94483495056694	#ff0000	NN_0
PBS_Cells_543	3.16814934004549	-7.0601173781249	#ff0000	NN_0
PBS_Cells_571	-8.81097687016483	12.2909358041432	#ff0000	NN_0
PBS_Cells_583	-8.37522977780205	-6.21211448433595	#ff0000	NN_0
PBS_Cells_597	-8.67819794375045	-8.45916080277116	#ff0000	NN_0
PBS_Cells_619	-6.05872840791164	-7.52382624708872	#ff0000	NN_0
PBS_Cells_642	1.68370635778368	-3.55368791050012	#ff0000	NN_0
PBS_Cells_664	-3.32892219186081	-4.51986628656299	#ff0000	NN_0
PBS_Cells_672	-1.11587590276526	-6.84157455274052	#ff0000	NN_0
PBS_Cells_690	-1.21802358908653	5.3516999429597	#ff0000	NN_0
PBS_Cells_701	4.45098231273942	4.28059580407423	#ff0000	NN_0
PBS_Cells_708	-1.64727459035446	-7.02332990233026	#ff0000	NN_0
PBS_Cells_714	-6.45285892748642	0.578499646712125	#ff0000	NN_0
PBS_Cells_724	-4.98623203342903	-4.67809967455155	#ff0000	NN_0
PBS_Cells_735	-1.43815705162985	-8.72050538094171	#ff0000	NN_0
PBS_Cells_757	-13.8384972859857	-4.01861871660572	#ff0000	NN_0
PBS_Cells_769	-4.54685965923174	-2.43385717570416	#ff0000	NN_0
PBS_Cells_772	-11.0573539813559	-1.4367028172977	#ff0000	NN_0
PBS_Cells_806	-6.6647989392487	-4.14814447843106	#ff0000	NN_0
PBS_Cells_809	-1.09145650646985	4.44890757137111	#ff0000	NN_0
PBS_Cells_830	-6.37349566713997	-5.98379634263324	#ff0000	NN_0
PBS_Cells_873	-8.12612859740586	-6.80780557781029	#ff0000	NN_0
PBS_Cells_874	-9.58495114651426	-1.86241168398441	#ff0000	NN_0
IL4_Cells_5	-0.139489673649887	-5.84943232342512	#ff0000	NN_0
IL4_Cells_50	-6.16574341868043	-1.69738350453514	#ff0000	NN_0
IL4_Cells_75	1.91895940615843	-15.5214341154152	#ff0000	NN_0
IL4_Cells_82	-4.83821422990504	-4.7794460299319	#ff0000	NN_0
IL4_Cells_87	-8.8770804765695	-4.3008801697544	#ff0000	NN_0
IL4_Cells_103	-3.31824284013476	2.1801897869027	#ff0000	NN_0
IL4_Cells_135	-11.2885497745336	-3.67422111919503	#ff0000	NN_0
IL4_Cells_154	-2.52717292207831	-1.09499258485041	#ff0000	NN_0
IL4_Cells_157	-1.64820233087812	-6.90762006249585	#ff0000	NN_0
IL4_Cells_221	-6.83475361738849	7.96875979221213	#ff0000	NN_0
IL4_Cells_251	-3.0540991397303	3.47554369607689	#ff0000	NN_0
IL4_Cells_271	-13.9268785285237	-2.28983337134596	#ff0000	NN_0
IL4_Cells_294	-0.234119420105588	-3.65886711003013	#ff0000	NN_0
IL4_Cells_303	-5.27402315920389	-2.72824018849797	#ff0000	NN_0
IL4_Cells_329	-14.7271855710007	3.68417166217521	#ff0000	NN_0
IL4_Cells_331	-10.7978069882898	-6.30150254907218	#ff0000	NN_0
IL4_Cells_333	9.97822257580509	-7.10323756759625	#ff0000	NN_0
IL4_Cells_358	-9.56430874944994	-2.24927279535519	#ff0000	NN_0
IL4_Cells_369	-12.4022306748165	13.0561322051877	#ff0000	NN_0
IL4_Cells_372	-11.8925502277974	0.306476233286219	#ff0000	NN_0
IL4_Cells_373	-0.838274429229349	-6.96408462596137	#ff0000	NN_0
IL4_Cells_416	-11.5229347448022	-1.89612173260918	#ff0000	NN_0
IL4_Cells_446	-0.541257786660963	-5.26351388301951	#ff0000	NN_0
IL4_Cells_448	-10.9083595784646	-1.18251187470231	#ff0000	NN_0
IL4_Cells_450	-8.13243836714255	-2.98348161833701	#ff0000	NN_0
IL4_Cells_484	-16.9089287003724	8.79989575047236	#ff0000	NN_0
IL4_Cells_486	-12.2534827930414	-3.49729070213236	#ff0000	NN_0
IL4_Cells_501	-6.0552747427494	6.2567519003382	#ff0000	NN_0
IL4_Cells_504	1.01562683542951	-11.7174189453258	#ff0000	NN_0
IL4_Cells_515	-8.22450465805399	-3.10997340384879	#ff0000	NN_0
IL4_Cells_522	-0.153259496161298	-3.66206473528122	#ff0000	NN_0
IL4_Cells_542	-9.36904596484205	-0.657525610022904	#ff0000	NN_0
IL4_Cells_578	-6.98950955696842	9.57554677048943	#ff0000	NN_0
IL4_Cells_659	-10.813922860144	-6.31792189193208	#ff0000	NN_0
IL4_Cells_660	-7.53884101532217	7.7025145582788	#ff0000	NN_0
AB42_Cells_1	-6.804345715657	-5.43114427468897	#ff0000	NN_0
AB42_Cells_4	-7.78247498911316	-2.34095441240208	#ff0000	NN_0
AB42_Cells_5	-13.1871090401061	6.45951436106601	#ff0000	NN_0
AB42_Cells_13	-6.55959611346749	4.04814341162512	#ff0000	NN_0
AB42_Cells_31	-7.54099642006283	-0.209753036962498	#ff0000	NN_0
AB42_Cells_36	4.41558030084678	8.98537702123006	#ff0000	NN_0
AB42_Cells_41	-10.3311567629065	2.18544267571911	#ff0000	NN_0
AB42_Cells_49	-3.21929159640361	-2.04641782066306	#ff0000	NN_0
AB42_Cells_51	-4.88148233659314	1.9142878012802	#ff0000	NN_0
AB42_Cells_53	-0.614534739564459	-0.947736379023661	#ff0000	NN_0
AB42_Cells_56	-2.80213605119396	3.03430249428375	#ff0000	NN_0
AB42_Cells_120	-16.8760562137118	1.01570704064943	#ff0000	NN_0
AB42_Cells_124	-4.53526839791331	-2.18042952554326	#ff0000	NN_0
AB42_Cells_126	-0.674056861522597	1.3847211782371	#ff0000	NN_0
AB42_Cells_127	-4.13624150331175	-8.19097094786969	#ff0000	NN_0
AB42_Cells_129	-3.34043820900395	-0.299751020557316	#ff0000	NN_0
AB42_Cells_148	0.185924365236823	-1.50241500801007	#ff0000	NN_0
AB42_Cells_156	-8.34225810003808	-7.03025424248337	#ff0000	NN_0
AB42_Cells_203	-11.3750393370851	-2.70766359353801	#ff0000	NN_0
AB42_Cells_206	1.63730238843655	-9.79867190725648	#ff0000	NN_0
AB42_Cells_215	-11.19970088442	-0.329112797163294	#ff0000	NN_0
AB42_Cells_217	-10.936105333003	-0.187577122647644	#ff0000	NN_0
AB42_Cells_237	-3.19957485582105	-2.3130169681436	#ff0000	NN_0
AB42_Cells_247	-1.52873332976898	-0.280861845827474	#ff0000	NN_0
AB42_Cells_259	-4.12255477305929	1.38671957642766	#ff0000	NN_0
AB42_Cells_271	-8.07988695759004	1.02549594686514	#ff0000	NN_0
AB42_Cells_275	-13.4526264273099	0.656415265888606	#ff0000	NN_0
AB42_Cells_277	-12.3359376951113	2.72118570009183	#ff0000	NN_0
AB42_Cells_299	4.20412223006805	-9.19834433688712	#ff0000	NN_0
AB42_Cells_301	-5.09480395471333	-0.684382355724293	#ff0000	NN_0
AB42_Cells_303	-12.2114018787891	2.91251560694646	#ff0000	NN_0
AB42_Cells_357	-7.16090755949978	2.3184092033189	#ff0000	NN_0
AB42_Cells_360	-1.59686631449981	-1.10091743967959	#ff0000	NN_0
AB42_Cells_379	-12.5268488824047	-4.36237096576919	#ff0000	NN_0
AB42_Cells_416	-4.75737361978695	-0.279864068468286	#ff0000	NN_0
AB42_Cells_427	-2.15983108975773	-2.07098543749157	#ff0000	NN_0
AB42_Cells_436	-2.63921270165728	4.43606384323128	#ff0000	NN_0
AB42_Cells_438	-3.65221437442041	-3.03532825493685	#ff0000	NN_0
AB42_Cells_450	-10.3636057320537	2.37993401273333	#ff0000	NN_0
AB42_Cells_469	-8.38350808164152	4.86603721714631	#ff0000	NN_0
AB42_Cells_478	-6.84338147506299	-3.43596731628345	#ff0000	NN_0
AB42_Cells_480	-1.56916808692808	-2.38634001130429	#ff0000	NN_0
AB42_Cells_484	-0.455961384169041	-1.3177217994938	#ff0000	NN_0
AB42_Cells_504	-7.16635839783231	2.15808028134401	#ff0000	NN_0
AB42_Cells_510	-4.06824942534448	-7.09367455290009	#ff0000	NN_0
AB42_Cells_513	-5.01985140653659	-0.174173765603276	#ff0000	NN_0
AB42_Cells_519	-11.4810140909939	0.386811960300803	#ff0000	NN_0
AB42_Cells_523	-13.4811616960945	-0.74954280211682	#ff0000	NN_0
AB42_Cells_538	-8.1802960010848	-2.39339739431233	#ff0000	NN_0
AB42_Cells_555	-8.4744389964123	1.78456716711788	#ff0000	NN_0
AB42_Cells_566	-8.38720810123341	-6.69708683394347	#ff0000	NN_0
AB42_Cells_569	-12.9387144159246	-3.44195483173397	#ff0000	NN_0
AB42_Cells_576	-16.5743955776517	1.20757934871516	#ff0000	NN_0
AB42_Cells_578	-9.5680054987854	-2.27078542872599	#ff0000	NN_0
AB42_Cells_580	-8.72236788500207	1.36410246784841	#ff0000	NN_0
AB42_Cells_585	-4.0138983304789	-7.5288109071127	#ff0000	NN_0
AB42_Cells_590	-4.43948766965157	3.11734440463707	#ff0000	NN_0
AB42_Cells_623	-8.39419202998644	0.622825533197519	#ff0000	NN_0
AB42_Cells_647	-12.0193618925268	2.87378529748315	#ff0000	NN_0
AB42_Cells_656	-11.3695451019495	3.28161268981792	#ff0000	NN_0
AB42_Cells_704	-8.79475125386635	3.85737502541754	#ff0000	NN_0
AB42_Cells_710	1.35103805558831	-9.5464838140452	#ff0000	NN_0
AB42_Cells_716	-10.858180552479	1.07172145634259	#ff0000	NN_0
AB42_Cells_728	-1.79549165275021	-1.86417470204083	#ff0000	NN_0
AB42_Cells_732	-5.13004427460461	6.72704397096881	#ff0000	NN_0
AB42_Cells_734	-2.86437250925257	0.204432482159908	#ff0000	NN_0
AB42_Cells_737	-9.50104955782383	0.33235176295858	#ff0000	NN_0
AB42_Cells_745	-4.90905489019467	0.574060103117604	#ff0000	NN_0
AB42_Cells_749	-0.937411532193764	-0.830730140603556	#ff0000	NN_0
AB42_Cells_753	-8.31288576424816	2.70563118263147	#ff0000	NN_0
AB42_Cells_772	-5.36301650591324	-3.38820576385305	#ff0000	NN_0
AB42_Cells_774	-12.6335748814406	-4.83248851361393	#ff0000	NN_0
AB42_Cells_776	-3.61958498574998	-6.42173841106055	#ff0000	NN_0
AB42_Cells_784	-6.94884571559364	-2.07764233416006	#ff0000	NN_0
AB42_Cells_792	-2.4049967103679	1.97188098601481	#ff0000	NN_0
AB42_Cells_805	-14.1753338783855	1.88930134513821	#ff0000	NN_0
AB42_Cells_814	-7.39488540483749	-4.07525015564688	#ff0000	NN_0
AB42_Cells_830	-7.71678148495842	0.114044422253864	#ff0000	NN_0
AB42_Cells_835	-4.65143587632949	-3.24071561891747	#ff0000	NN_0
AB42_Cells_851	-5.45171845943324	6.637230414748	#ff0000	NN_0
AB42_Cells_855	-3.77853901443712	-1.07925546182233	#ff0000	NN_0
AB42_Cells_863	-12.9127689810419	-0.490636229650229	#ff0000	NN_0
AB42_Cells_869	-9.23234113192775	-4.79386708278104	#ff0000	NN_0
AB42_Cells_871	-2.2475820626124	0.235015068255215	#ff0000	NN_0
AB42_Cells_877	-4.5238067361325	-1.63615598924784	#ff0000	NN_0
AB42_Cells_885	-9.18649907738086	3.79502947659222	#ff0000	NN_0
AB42_Cells_911	-8.44034593656836	-0.678915630313486	#ff0000	NN_0
AB42_Cells_921	-9.01263269946425	-0.558919361080935	#ff0000	NN_0
AB42_Cells_925	-7.81643810364965	-3.73276334370226	#ff0000	NN_0
AB42_Cells_928	0.441259361428944	-10.0758215045102	#ff0000	NN_0
AB42_Cells_951	-3.2426803425344	0.764881077270826	#ff0000	NN_0
AB42_Cells_967	-10.3451933899823	-3.73772050321127	#ff0000	NN_0
AB42_Cells_976	-1.06048923611908	1.49885467747918	#ff0000	NN_0
AB42_Cells_983	-9.63075034666102	3.06287815239295	#ff0000	NN_0
